gene_id,gene_name,log(velocity_gamma)
ENSMUSG00000026356,Dars,-0.8248028477435716
ENSMUSG00000026425,Srgap2,-2.0950582095415884
ENSMUSG00000026442,Nfasc,-2.7714060618583467
ENSMUSG00000073557,Ppp1r12b,-0.5563719548554116
ENSMUSG00000009418,Nav1,-0.9798913463170836
ENSMUSG00000079283,2310009B15Rik,-0.6329713370765029
ENSMUSG00000026360,Rgs2,-2.2008281022402434
ENSMUSG00000032666,1700025G04Rik,-0.8722013610462342
ENSMUSG00000026482,Rgl1,-0.7010172081452121
ENSMUSG00000042772,Smg7,-0.4700737117014536
ENSMUSG00000026478,Lamc1,-0.17043523978578942
ENSMUSG00000004110,Cacna1e,0.915216394980886
ENSMUSG00000026469,Xpr1,-1.7039389946461778
ENSMUSG00000015484,Fam163a,-1.5579749424422693
ENSMUSG00000026594,Ralgps2,-0.9402352524801254
ENSMUSG00000026721,Rabgap1l,0.37919457291913344
ENSMUSG00000043467,Zbtb37,-3.4776101231420173
ENSMUSG00000040225,Prrc2c,-1.7337742805939305
ENSMUSG00000026576,Atp1b1,-4.974912856240503
ENSMUSG00000026566,Mpzl1,-2.966620308993613
ENSMUSG00000026663,Atf6,-0.6661791100082801
ENSMUSG00000026659,Dusp12,-1.3107320013864163
ENSMUSG00000013593,Ndufs2,-3.1054065690845474
ENSMUSG00000045259,Klhdc9,-0.5106737019733574
ENSMUSG00000007097,Atp1a2,-2.163444769871064
ENSMUSG00000057335,Cep170,-1.7301913491167396
ENSMUSG00000026516,Nvl,-0.40688784471808653
ENSMUSG00000026509,Capn2,-0.9899132142048274
ENSMUSG00000056050,Mia3,-0.93386017458426
ENSMUSG00000026620,Mark1,-1.7074916323050566
ENSMUSG00000039246,Lyplal1,-0.9252351138635828
ENSMUSG00000039239,Tgfb2,-3.6391088944987366
ENSMUSG00000037624,Kcnk2,-1.9737064002030251
ENSMUSG00000037499,Nenf,-3.1837772981863486
ENSMUSG00000040653,Ppp1r14c,-1.213824506709718
ENSMUSG00000047648,Fbxo30,0.16436742497682189
ENSMUSG00000019996,Map7,0.026845026192655712
ENSMUSG00000019986,Ahi1,-2.0984528447156614
ENSMUSG00000019998,Stx7,-3.1060955488386512
ENSMUSG00000004360,9330159F19Rik,-0.6049698335775912
ENSMUSG00000019883,Echdc1,-0.2395351627451951
ENSMUSG00000019777,Hdac2,-3.48323002043594
ENSMUSG00000038481,Cdk19,0.2973573407262308
ENSMUSG00000019831,Wasf1,-3.935433044617533
ENSMUSG00000038332,Sesn1,-0.35578912210904856
ENSMUSG00000038240,Pdss2,-0.4337471512535915
ENSMUSG00000038822,Hace1,-2.263967734899749
ENSMUSG00000050953,Gja1,-2.4105731130758765
ENSMUSG00000019874,Fabp7,-6.071228403664105
ENSMUSG00000038039,Gcc2,-1.3553801671572294
ENSMUSG00000058297,Spock2,-2.3589190703046152
ENSMUSG00000004207,Psap,-5.314132427963091
ENSMUSG00000020089,Ppa1,-3.6617194879454233
ENSMUSG00000020064,Herc4,0.3068883454935164
ENSMUSG00000069601,Ank3,-0.7312853838385174
ENSMUSG00000043259,Fam13c,-0.7326291774448481
ENSMUSG00000019923,Zwint,-3.8823995450828073
ENSMUSG00000052613,Pcdh15,1.7952278474444008
ENSMUSG00000020175,Rab36,-0.4661431704150168
ENSMUSG00000020180,Snrpd3,-2.0559791098418643
ENSMUSG00000049422,Chchd10,-3.855595414129503
ENSMUSG00000033208,S100b,-0.9401764119971188
ENSMUSG00000001150,Mcm3ap,-0.7699471266725737
ENSMUSG00000054206,Gzmm,0.2439904175168395
ENSMUSG00000023175,Bsg,-6.751662714405537
ENSMUSG00000055862,Izumo4,-1.238161776613309
ENSMUSG00000034994,Eef2,-7.3904285907685745
ENSMUSG00000004933,Matk,-3.4187066786516787
ENSMUSG00000004931,Apba3,-1.0796209609747056
ENSMUSG00000034612,Chst11,-0.13918574840679054
ENSMUSG00000054027,Nt5dc3,-0.9767916816507918
ENSMUSG00000015889,Lta4h,-1.3168338976377842
ENSMUSG00000074781,Ube2n,-3.102542350429331
ENSMUSG00000036499,Eea1,-1.4321672147807036
ENSMUSG00000019943,Atp2b1,-2.6946506770461047
ENSMUSG00000019966,Kitl,-2.5421396970011854
ENSMUSG00000019971,Cep290,-0.902485883780846
ENSMUSG00000053825,Ppfia2,0.9088073611709764
ENSMUSG00000020186,Csrp2,-2.2945379086094726
ENSMUSG00000058799,Nap1l1,-1.2528407265184447
ENSMUSG00000020205,Phlda1,-2.0413947480697843
ENSMUSG00000020151,Ptprr,-0.14400860168220966
ENSMUSG00000020154,Ptprb,-0.6473453818720172
ENSMUSG00000020224,Llph,-1.7074206002086667
ENSMUSG00000034707,Gns,-0.5002008834143441
ENSMUSG00000034613,Ppm1h,-1.1927962948440705
ENSMUSG00000025422,Agap2,-1.0520784967644736
ENSMUSG00000025410,Dctn2,-3.099491183578229
ENSMUSG00000061315,Naca,-3.766881904528516
ENSMUSG00000040054,Baz2a,-0.5035590890939652
ENSMUSG00000025381,Cnpy2,-3.110214420642333
ENSMUSG00000005683,Cs,-1.3903774857392122
ENSMUSG00000025354,Dnajc14,-1.8197943805813517
ENSMUSG00000078427,Sarnp,-2.5487485816002606
ENSMUSG00000025351,Cd63,-3.961535833155998
ENSMUSG00000096054,Syne1,-0.4005646450152064
ENSMUSG00000019775,Rgs17,-2.530023918304253
ENSMUSG00000015305,Sash1,-0.2289926992765057
ENSMUSG00000060487,Samd5,-0.4292562359080795
ENSMUSG00000019790,Stxbp5,-2.088909663214608
ENSMUSG00000019820,Utrn,0.8696448530807319
ENSMUSG00000061983,Rps12,-2.595379343723705
ENSMUSG00000019899,Lama2,0.8148297143921024
ENSMUSG00000019791,Hint3,-0.223234555454961
ENSMUSG00000039697,Ncoa7,-0.2556356226362454
ENSMUSG00000000296,Tpd52l1,-0.07159991687850069
ENSMUSG00000069662,Marcks,-0.6047360170620674
ENSMUSG00000051736,Fam229b,-1.6785839920853949
ENSMUSG00000075232,Amd1,-1.2922178874726922
ENSMUSG00000038446,Cdc40,-0.8388268773550507
ENSMUSG00000019803,Nr2e1,-0.21162595915789215
ENSMUSG00000038248,Sobp,-2.9715668242800315
ENSMUSG00000038122,Tbc1d32,-1.3258262503742038
ENSMUSG00000037012,Hk1,-2.57269394954604
ENSMUSG00000020076,Ddx50,0.5041632996892347
ENSMUSG00000020074,Ccar1,-1.3566456600067496
ENSMUSG00000037710,Cisd1,-4.804370917931746
ENSMUSG00000020230,Prmt2,-2.023522562288192
ENSMUSG00000035781,R3hdm4,-2.883056354824168
ENSMUSG00000020150,Gamt,-3.9486997492172384
ENSMUSG00000020167,Tcf3,-1.8828691455127131
ENSMUSG00000035215,Lsm7,0.2888563077675683
ENSMUSG00000004937,Sgta,-2.636887940442488
ENSMUSG00000034958,Atcay,-1.1797686687446125
ENSMUSG00000055053,Nfic,-1.584407747064981
ENSMUSG00000062931,Zfp938,-2.5221167251488508
ENSMUSG00000061904,Slc25a3,-4.505596109525095
ENSMUSG00000036112,Metap2,-2.5850992090330878
ENSMUSG00000062981,Mrpl42,-2.9048972925306598
ENSMUSG00000020029,Nudt4,-2.6508721141224454
ENSMUSG00000035864,Syt1,0.1048206299457591
ENSMUSG00000069520,Tmem19,-2.5361895442296305
ENSMUSG00000020137,Thap2,-0.2387662018980133
ENSMUSG00000064181,Rab3ip,-2.0459119925218454
ENSMUSG00000034024,Cct2,-2.716014532358753
ENSMUSG00000055531,Cpsf6,-0.16825227493378822
ENSMUSG00000020184,Mdm2,-1.2472032523989742
ENSMUSG00000052681,Rap1b,-5.321608839193592
ENSMUSG00000025795,Rassf3,-0.27306876878798925
ENSMUSG00000034602,Mon2,-0.5664170894401076
ENSMUSG00000020102,Slc16a7,-0.7032743880548644
ENSMUSG00000040441,Slc26a10,-1.7023009589131035
ENSMUSG00000040043,Rbms2,0.18487421266065795
ENSMUSG00000090841,Myl6,-0.4671678139734271
ENSMUSG00000000711,Rab5b,0.21091492551695687
ENSMUSG00000025357,Dgka,-0.007017464912173449
ENSMUSG00000034285,Nipsnap1,-2.32410371677038
ENSMUSG00000034209,Rasl10a,-4.540875319531911
ENSMUSG00000041164,Zmiz2,-1.5185874350632833
ENSMUSG00000071866,Ppia,-4.7715206818642715
ENSMUSG00000020431,Adcy1,-4.181086877230334
ENSMUSG00000048834,Vstm2a,0.039632935870129116
ENSMUSG00000044629,Cnrip1,-2.1528679123304943
ENSMUSG00000049800,Sertad2,-0.22142802367359
ENSMUSG00000020134,Peli1,-0.5583093417080576
ENSMUSG00000056342,Usp34,-0.9537455371609485
ENSMUSG00000000861,Bcl11a,-1.7025990331210814
ENSMUSG00000032740,Ccdc88a,-0.7950779401167196
ENSMUSG00000020458,Rtn4,-2.7441993802494173
ENSMUSG00000040850,Psme4,0.5038154498123679
ENSMUSG00000020297,Nsg2,-3.5298970828727265
ENSMUSG00000069919,Hba-a1,-4.343559667053869
ENSMUSG00000020409,Slu7,-3.971464511776781
ENSMUSG00000011256,Adam19,-2.6717335082293303
ENSMUSG00000020376,Rnf130,-1.6634047776291043
ENSMUSG00000020386,Sar1b,-3.034410317978585
ENSMUSG00000018239,Zcchc10,-2.051858515241187
ENSMUSG00000049470,Aff4,-1.7161951808748728
ENSMUSG00000020333,Acsl6,-3.0091661452963594
ENSMUSG00000020524,Gria1,0.24689718661799
ENSMUSG00000020519,Sap30l,-1.1498874779564006
ENSMUSG00000037243,Zfp692,-0.1952144257892608
ENSMUSG00000020441,2310033P09Rik,-0.3049675017507938
ENSMUSG00000005417,Mprip,-1.0026829278686349
ENSMUSG00000042298,Ttc19,-0.301720687628959
ENSMUSG00000019505,Ubb,-6.350102673972744
ENSMUSG00000020549,Elac2,0.8706220109279513
ENSMUSG00000020903,Stx8,-0.7210423995238002
ENSMUSG00000018765,Fxr2,-3.0696356389487955
ENSMUSG00000018286,Psmb6,-3.6244315620830583
ENSMUSG00000020828,Pld2,-1.5410907627139163
ENSMUSG00000020827,Mink1,-2.5827880042306757
ENSMUSG00000055670,Zzef1,-1.148676012971082
ENSMUSG00000010554,Mettl16,-1.124089063133055
ENSMUSG00000038290,Smg6,0.43939189724315614
ENSMUSG00000045287,Rtn4rl1,-2.5514850099833737
ENSMUSG00000020850,Prpf8,-1.6383744138449778
ENSMUSG00000006127,Inpp5k,-1.5898309415322869
ENSMUSG00000037926,Ssh2,-2.0208743384276344
ENSMUSG00000017344,Vtn,-5.305813593179841
ENSMUSG00000001100,Poldip2,-3.917768831113976
ENSMUSG00000001105,Ift20,-4.110533458118027
ENSMUSG00000020716,Nf1,0.18546328306620224
ENSMUSG00000017639,Rab11fip4,-0.7373084107939315
ENSMUSG00000017686,Rhot1,-0.8544641973501471
ENSMUSG00000056158,Car10,-1.1537151460243575
ENSMUSG00000001506,Col1a1,-3.085689870025439
ENSMUSG00000020873,Slc35b1,-1.0495420494376453
ENSMUSG00000057522,Spop,-3.392568715902852
ENSMUSG00000069744,Psmb3,-2.8953182315505
ENSMUSG00000052915,Msl1,-1.2515901615024296
ENSMUSG00000078676,Casc3,-0.8295045052289619
ENSMUSG00000038020,Rapgefl1,-1.5372984300571326
ENSMUSG00000035007,Rundc1,-0.3024147337732145
ENSMUSG00000018634,Crhr1,-1.1387237856515278
ENSMUSG00000018411,Mapt,-2.22320457374965
ENSMUSG00000049354,Dcaf7,-1.7479450349251342
ENSMUSG00000020700,Map3k3,-0.5669634409448764
ENSMUSG00000020705,Ddx42,-0.9703134846887228
ENSMUSG00000020708,Psmc5,-2.5617420882524744
ENSMUSG00000020720,Psmd12,-2.074164768368506
ENSMUSG00000041623,D11Wsu47e,-0.2676395131572715
ENSMUSG00000034714,Ttyh2,-0.9120594464018948
ENSMUSG00000020778,Ten1,-1.1191486230615248
ENSMUSG00000025583,Rptor,-2.6932481440784137
ENSMUSG00000039230,Tbcd,-1.3251570048918602
ENSMUSG00000009079,Ewsr1,-2.9302269699012755
ENSMUSG00000057897,Camk2b,-4.173003557667112
ENSMUSG00000041073,Nacad,-2.775126932772455
ENSMUSG00000000384,Tbrg4,-1.307510057212039
ENSMUSG00000001891,Ugp2,-1.6605539067507638
ENSMUSG00000020321,Mdh1,-4.1252747672066565
ENSMUSG00000042302,Ehbp1,-0.25775871530922684
ENSMUSG00000032878,Ccdc85a,-1.9034075100095829
ENSMUSG00000020460,Rps27a,-4.167806942814908
ENSMUSG00000060923,Acyp2,-1.1463308222387756
ENSMUSG00000020311,Erlec1,-0.7928116605849028
ENSMUSG00000020309,Chac2,-1.581061264972938
ENSMUSG00000044056,Efcab9,0.5518212608095102
ENSMUSG00000057113,Npm1,-3.0199030063473167
ENSMUSG00000018848,Rars,-1.9383727666260728
ENSMUSG00000049336,Tenm2,0.9618546305748912
ENSMUSG00000020436,Gabrg2,-1.0471529470671608
ENSMUSG00000020340,Cyfip2,-1.9172790196876712
ENSMUSG00000020362,Cnot6,3.079358368603877
ENSMUSG00000020368,Canx,-1.5991029031039383
ENSMUSG00000020375,Rufy1,-2.793340641571102
ENSMUSG00000020361,Hspa4,-0.6001620652608238
ENSMUSG00000052298,Cdc42se2,-2.041117538142785
ENSMUSG00000018593,Sparc,-5.430475713659693
ENSMUSG00000018585,Atox1,-5.674757533339647
ENSMUSG00000049154,Fam183b,-4.101631145004388
ENSMUSG00000042506,Usp22,-3.4655014342896164
ENSMUSG00000001036,Epn2,-3.619622009629507
ENSMUSG00000004798,Ulk2,-0.15061860827588033
ENSMUSG00000047804,Akap10,-1.3343695341910016
ENSMUSG00000018501,Ncor1,-1.4771259567706985
ENSMUSG00000018509,Cenpv,-1.5526579896573027
ENSMUSG00000018474,Chd3,-3.195629281722692
ENSMUSG00000018293,Pfn1,-6.146958328492464
ENSMUSG00000040667,Nup88,-1.0638746286284642
ENSMUSG00000020745,Pafah1b1,-2.036567050173367
ENSMUSG00000038351,Sgsm2,-1.536540115103774
ENSMUSG00000020848,Doc2b,-2.4690939717635048
ENSMUSG00000017631,Abr,-2.075079867624771
ENSMUSG00000050944,Efcab5,2.086418644988141
ENSMUSG00000044328,Trp53i13,-1.5336851936180342
ENSMUSG00000018334,Ksr1,-0.7125396243928652
ENSMUSG00000017677,Wsb1,-2.245331794766874
ENSMUSG00000035441,Myo1d,1.0286249943351842
ENSMUSG00000020692,Nle1,-1.1607400540139483
ENSMUSG00000018697,Aatf,-0.2898307792697549
ENSMUSG00000020530,Ggnbp2,-2.0300737919641016
ENSMUSG00000018171,Vmp1,1.7816670449467606
ENSMUSG00000018427,Ypel2,0.07963256203685119
ENSMUSG00000061666,Gdpd1,-2.1499782614303258
ENSMUSG00000046442,Ppm1e,0.14116504452331954
ENSMUSG00000018547,Pip4k2b,-1.039564853486305
ENSMUSG00000018541,Cwc25,-1.3562868440319318
ENSMUSG00000014195,Dnajc7,-1.7591570510609942
ENSMUSG00000019303,Psmc3ip,-2.4561759961921465
ENSMUSG00000034685,Fam171a2,-1.4808476634282657
ENSMUSG00000034621,Gpatch8,-1.674551265422514
ENSMUSG00000020932,Gfap,-5.304642930812409
ENSMUSG00000034187,Nsf,-1.3671732208852383
ENSMUSG00000018363,Smurf2,0.3647798403514904
ENSMUSG00000018433,Nol11,-1.333005531138579
ENSMUSG00000020723,Cacng4,-1.0103581991656347
ENSMUSG00000041895,Wipi1,-2.2969859972269044
ENSMUSG00000020614,Fam20a,-2.0987977502356907
ENSMUSG00000016559,H3f3b,-6.638656893536197
ENSMUSG00000020777,Acox1,-3.1427086867526577
ENSMUSG00000020792,Exoc7,-1.4996995037496803
ENSMUSG00000039976,Tbc1d16,-0.7500813442517203
ENSMUSG00000071454,Dtnb,-2.2678088572993214
ENSMUSG00000020654,Adcy3,-0.9837245068839028
ENSMUSG00000020585,Laptm4a,-4.286491207512375
ENSMUSG00000020621,Rdh14,-0.644929885210431
ENSMUSG00000020608,Smc6,-1.7233581246586596
ENSMUSG00000020580,Rock2,-0.8997631922195793
ENSMUSG00000052632,Asap2,-1.1447749567306809
ENSMUSG00000054309,Cpsf3,-0.7073988143677009
ENSMUSG00000062054,Iah1,-0.8315740335636761
ENSMUSG00000059669,Taf1b,-0.2529367048888828
ENSMUSG00000020656,Grhl1,-0.5392665257575914
ENSMUSG00000061911,Myt1l,0.17860005726344505
ENSMUSG00000035933,Cog5,0.2147768881970565
ENSMUSG00000020598,Nrcam,0.4845267192792657
ENSMUSG00000020955,Ap4s1,-1.2409313341464685
ENSMUSG00000035133,Arhgap5,-0.9737063346667
ENSMUSG00000021010,Npas3,-1.7852061690824594
ENSMUSG00000021024,Psma6,-3.6402344433358915
ENSMUSG00000012076,Brms1l,-1.3462436847890449
ENSMUSG00000035431,Sstr1,-0.13720069916063307
ENSMUSG00000021066,Atl1,-0.4412351975171195
ENSMUSG00000048118,Arid4a,-1.6469549576540912
ENSMUSG00000021096,Ppm1a,-1.0606821098191899
ENSMUSG00000021109,Hif1a,-1.1240057918248991
ENSMUSG00000021113,Snapc1,-1.3007559884686744
ENSMUSG00000044912,Syt16,-1.282913311312545
ENSMUSG00000021065,Fut8,-0.7583206765847407
ENSMUSG00000047454,Gphn,-0.18729570739465226
ENSMUSG00000042700,Sipa1l1,-0.9962607755211192
ENSMUSG00000021219,Rgs6,1.5981633932303991
ENSMUSG00000072946,Ptgr2,-1.0716561909136657
ENSMUSG00000021244,Ylpm1,-1.229857268556051
ENSMUSG00000021250,Fos,-5.175453252572344
ENSMUSG00000066392,Nrxn3,1.4576198765430006
ENSMUSG00000021012,Zc3h14,-1.6957064017967234
ENSMUSG00000021178,Psmc1,-1.1231845285035718
ENSMUSG00000097121,D130020L05Rik,0.2781369120059965
ENSMUSG00000021192,Golga5,-0.351931497603846
ENSMUSG00000041712,Ubr7,-0.4716834393370346
ENSMUSG00000021198,Unc79,0.6902983765684437
ENSMUSG00000021203,Otub2,-1.4523234859887473
ENSMUSG00000044715,Gskip,-0.06732528054707743
ENSMUSG00000058070,Eml1,-2.9277244150330657
ENSMUSG00000021262,Evl,-2.3395517165172417
ENSMUSG00000021268,Meg3,-4.377372044107245
ENSMUSG00000018707,Dync1h1,-2.758793594081679
ENSMUSG00000007411,Mark3,-0.3851652515097891
ENSMUSG00000037787,Apopt1,-0.3176056158699684
ENSMUSG00000037679,Inf2,-0.5790164955121548
ENSMUSG00000064326,Siva1,-2.598632591590918
ENSMUSG00000006360,Crip1,-2.2030318821363872
ENSMUSG00000020658,Efr3b,-2.98173864271766
ENSMUSG00000079177,Fam228a,0.5384954585653549
ENSMUSG00000054459,Vsnl1,-2.840533331916604
ENSMUSG00000062352,Itgb1bp1,-1.07788996677363
ENSMUSG00000020644,Id2,-2.7359690812513433
ENSMUSG00000061477,Rps7,-4.734179817202077
ENSMUSG00000044573,Acp1,-3.7159300856470656
ENSMUSG00000020651,Slc26a4,-3.4876310455601334
ENSMUSG00000002997,Prkar2b,-1.1649540346387872
ENSMUSG00000019256,Ahr,0.12857112330409398
ENSMUSG00000020577,Tspan13,-3.9327628978200617
ENSMUSG00000020547,Bzw2,-2.4632948365267406
ENSMUSG00000036295,Lrrn3,-1.4634117184727622
ENSMUSG00000046314,Stxbp6,-0.8384956867641928
ENSMUSG00000002688,Prkd1,1.2840522282484998
ENSMUSG00000020954,Strn3,-0.7114051881955153
ENSMUSG00000035247,Hectd1,-2.5288443681385693
ENSMUSG00000005656,Snx6,-1.494316727472077
ENSMUSG00000062929,Cfl2,-1.56298304437581
ENSMUSG00000021022,Ppp2r3c,-2.011955543623265
ENSMUSG00000021025,Nfkbia,-1.57841251626446
ENSMUSG00000021027,Ralgapa1,-0.3388218347663341
ENSMUSG00000034892,Rps29,-4.204164606814143
ENSMUSG00000020982,Nemf,-0.3231063553081416
ENSMUSG00000020988,L2hgdh,-0.5725265746167582
ENSMUSG00000021087,Rtn1,-2.977853652834733
ENSMUSG00000021051,Ppp2r5e,-2.755074358080712
ENSMUSG00000021061,Sptb,-1.7409053222516155
ENSMUSG00000021114,Atp6v1d,-3.2301517346630537
ENSMUSG00000015143,Actn1,-2.264436204039156
ENSMUSG00000021242,Npc2,-3.3283318267034288
ENSMUSG00000021248,Tmed10,-1.9834326969078209
ENSMUSG00000021039,Snw1,-1.1581473480233602
ENSMUSG00000033854,Kcnk10,0.9298616292719434
ENSMUSG00000051166,Eml5,0.8117639130389802
ENSMUSG00000021179,Nrde2,-1.3650796332679451
ENSMUSG00000033530,Ttc7b,-2.2689950098196423
ENSMUSG00000021190,Lgmn,-3.9841989912238183
ENSMUSG00000021097,Clmn,-0.7821868531510746
ENSMUSG00000041341,Atg2b,-2.191718722411594
ENSMUSG00000048251,Bcl11b,-2.4881845763238832
ENSMUSG00000021270,Hsp90aa1,-0.7432283046596829
ENSMUSG00000052551,Adarb2,1.807085424497156
ENSMUSG00000039242,B3galnt2,-0.969393346305011
ENSMUSG00000039219,Arid4b,-2.23165507232603
ENSMUSG00000015671,Psma2,-2.527013043796249
ENSMUSG00000041324,Inhba,-2.3309720161541834
ENSMUSG00000069255,Dusp22,-0.5194592868067806
ENSMUSG00000021420,Fars2,0.01503687736404036
ENSMUSG00000021431,Snrnp48,-1.2639533023846263
ENSMUSG00000091264,Smim13,-0.4451427576409743
ENSMUSG00000054728,Phactr1,0.8677354541167499
ENSMUSG00000063200,Nol7,-2.2068965302401247
ENSMUSG00000015396,Cd83,0.7549338093376545
ENSMUSG00000021373,Cap2,-2.49292825702494
ENSMUSG00000035139,Secisbp2,-0.30355792283786576
ENSMUSG00000025867,Cplx2,-2.4689302272038005
ENSMUSG00000043183,Simc1,-1.3386843215951307
ENSMUSG00000021488,Nsd1,-0.5164306861538057
ENSMUSG00000058569,Tmed9,-1.3684880388407659
ENSMUSG00000021496,Pcbd2,-1.376726043818668
ENSMUSG00000050002,Idnk,-2.0413720293655784
ENSMUSG00000021555,Naa35,-1.1343110232755444
ENSMUSG00000021559,Dapk1,1.4095607620317674
ENSMUSG00000021470,Ercc6l2,-0.2492215712633284
ENSMUSG00000033991,Ttc37,0.2649209165225211
ENSMUSG00000021596,Mctp1,0.8093934804870383
ENSMUSG00000071252,2210408I21Rik,1.3569744013532112
ENSMUSG00000064138,Fam172a,-0.29114967765146543
ENSMUSG00000074794,Arrdc3,-5.166476451976728
ENSMUSG00000051098,Mblac2,-1.0811474801773335
ENSMUSG00000021537,Cetn3,-2.601333909923504
ENSMUSG00000005583,Mef2c,-1.6263685299016115
ENSMUSG00000050334,C130071C03Rik,-1.079927933463982
ENSMUSG00000034488,Edil3,-0.2744784255135571
ENSMUSG00000021613,Hapln1,-2.4103588515148253
ENSMUSG00000042082,Arsb,-0.5402734871614765
ENSMUSG00000045312,Lhfpl2,-1.58426785286407
ENSMUSG00000042043,Tbca,-2.0697007377263907
